Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,ADX
2021-12-06,152.0,152.4499969482422,148.10000610351562,148.5500030517578,122.46700286865234,24185368,9.0,0,18.13922771860264
2021-12-07,150.10000610351562,150.9499969482422,149.14999389648438,150.64999389648438,124.1982879638672,7866368,0.0,0,18.55194935379441
2021-12-08,151.25,151.75,150.0500030517578,150.89999389648438,124.40438079833984,7313306,0.0,0,18.741394844311433
2021-12-09,151.75,153.5,150.64999389648438,152.64999389648438,125.84711456298828,9423435,0.0,0,18.492669714681817
2021-12-10,152.64999389648438,153.75,150.89999389648438,151.3000030517578,124.73416900634766,7419042,0.0,0,18.20005122561536
2021-12-13,152.8000030517578,152.8000030517578,147.9499969482422,149.0,122.8380126953125,9888293,0.0,0,18.459708856310307
2021-12-14,149.0,149.75,146.75,148.89999389648438,122.75555419921876,8474759,0.0,0,18.905574570506463
2021-12-15,149.14999389648438,150.60000610351562,147.9499969482422,148.10000610351562,122.09605407714844,5410912,0.0,0,19.077188405778063
2021-12-16,148.10000610351562,150.10000610351562,147.5500030517578,149.75,123.4563217163086,7539061,0.0,0,19.31300943838991
2021-12-17,149.10000610351562,149.39999389648438,146.0,146.4499969482422,120.73573303222656,8758284,0.0,0,19.829836988034433
2021-12-20,145.35000610351562,145.64999389648438,139.14999389648438,140.6999969482422,115.99534606933594,8858645,0.0,0,21.378024778740812
2021-12-21,141.8000030517578,146.0,141.39999389648438,144.64999389648438,119.25177764892578,8097050,0.0,0,22.70363645205549
2021-12-22,145.4499969482422,149.39999389648438,144.4499969482422,145.35000610351562,119.82887268066406,6798820,0.0,0,22.896310267643408
2021-12-23,146.25,147.9499969482422,146.0,147.6999969482422,121.7662582397461,4857807,0.0,0,23.07522166783219
2021-12-24,148.0,148.14999389648438,145.39999389648438,145.89999389648438,120.28231811523438,4568316,0.0,0,23.352274927747608
2021-12-27,145.0,146.5,144.10000610351562,146.0500030517578,120.40597534179688,3534825,0.0,0,23.85122336626512
2021-12-28,146.25,149.25,146.25,148.85000610351562,122.71436309814452,4907497,0.0,0,23.425881489019435
2021-12-29,149.25,149.25,146.3000030517578,146.75,120.98309326171876,4216568,0.0,0,23.030921174434155
2021-12-30,146.75,149.0,143.89999389648438,146.1999969482422,120.52962493896484,24782255,0.0,0,23.18084986148633
2021-12-31,145.9499969482422,147.5500030517578,145.35000610351562,146.0500030517578,120.40597534179688,5320232,0.0,0,23.320069356606204
2022-01-03,147.25,155.9499969482422,147.0,155.3000030517578,128.03182983398438,29486720,0.0,0,22.213733519612003
2022-01-04,156.0,156.64999389648438,152.35000610351562,153.0,126.13566589355467,13744440,0.0,0,21.33845990202426
2022-01-05,153.0,154.3000030517578,152.10000610351562,153.6999969482422,126.7127685546875,8454060,0.0,0,20.456555850309115
2022-01-06,154.5,155.25,153.0500030517578,154.64999389648438,127.49595642089844,12446900,0.0,0,19.863709861517936
